LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference_dbpedia,domain_dbpedia,range_dbpedia,domainSingularArticle,domainWrittenSingularForm,domainWrittenPluralForm,rangeSingularArticle,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
parent-of,noun,masculine_il,il genitore,i genitori,di,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone
restingPlace-of,noun,masculine_il,il luogo di sepoltura,-,di,NounPPFrame,range,domain,1,dbo:restingPlace,dbo:Person,xsd:string,feminine_la,persona,persone,feminine_la,-,-
artisticMovement_of,noun,masculine_il,il movimento artistico,i movimenti artistici,di,NounPPFrame,range,domain,1,dbo:movement,dbo:Artist,owl:Thing,feminine_la,artista,artiisti,feminine_la,cosa,cose
author_of,noun,article_l,l'autore,gli autori,di,NounPPFrame,range,domain,1,dbo:author,dbo:Work,dbo:Person,feminine_la,opera,opere,feminine_la,persona,persone
foundation_series_of,noun,masculine_il,il ciclo della fondazione,i cicli della fondazione,di,NounPPFrame,range,domain,1,dbo:series,dbo:Foundation_series,dbo:Person,feminine_la,libro,libri,feminine_la,persona,persone
city-of,noun,feminine_la,la citt…,le citt…,di,NounPPFrame,range,domain,1,dbo:isPartOf,dbo:AdministrativeRegion,dbo:City,feminine_la,regione amministrativa,regioni amministrative,feminine_la,citt…,citt…
founder_of,noun,masculine_il,il fondatore,i fondatori,di,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,feminine_la,rete televisiva,reti televisive,feminine_la,compagnia,compagnie
membership-of,noun,masculine_il,il membro,i membri,di,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,feminine_la,band,band,feminine_la,artista musicale,artisti musicali
Borough-of,noun,masculine_il,il quartiere,i quartieri,di,NounPPFrame,range,domain,1,dbo:governmentType,dbo:City,dbo:Organisation,feminine_la,citt…,citt…,feminine_la,organizzazione,organizzazioni
wine_production-of,noun,feminine_la,la produzione di vino,le produzioni di vino,di,NounPPFrame,range,domain,1,dbo:wineProduced,dbo:Company,dbo:Location,feminine_la,compagnia,compagnie,feminine_la,luogo,luoghi
