"binding","objOfProp","label"
"http://dbpedia.org/resource/Pink_Panther_and_Pals","http://dbpedia.org/resource/The_Ant_and_the_Aardvark","The Ant and the Aardvark"
"http://dbpedia.org/resource/JoJo's_Circus","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Relativity_(TV_series)","http://dbpedia.org/resource/Jason_Katims","Jason Katims"
"http://dbpedia.org/resource/Rise_(American_TV_series)","http://dbpedia.org/resource/Jason_Katims","Jason Katims"
"http://dbpedia.org/resource/Freak_Show_(TV_series)","http://dbpedia.org/resource/H._Jon_Benjamin","H. Jon Benjamin"
"http://dbpedia.org/resource/C/o_The_Bartons","http://dbpedia.org/resource/Jocelyn_Moorhouse","Jocelyn Moorhouse"
"http://dbpedia.org/resource/The_Adam_and_Joe_Show","http://dbpedia.org/resource/Joe_Cornish","Joe Cornish"
"http://dbpedia.org/resource/Pure_Genius","http://dbpedia.org/resource/Jason_Katims","Jason Katims"
"http://dbpedia.org/resource/Bump_(Australian_TV_series)","http://dbpedia.org/resource/Claudia_Karvan","Claudia Karvan"
"http://dbpedia.org/resource/The_Wedding_Bells","http://dbpedia.org/resource/Jason_Katims","Jason Katims"
"http://dbpedia.org/resource/Odd_Mom_Out","http://dbpedia.org/resource/Jill_Kargman","Jill Kargman"
"http://dbpedia.org/resource/Jon_Benjamin_Has_a_Van","http://dbpedia.org/resource/H._Jon_Benjamin","H. Jon Benjamin"
"http://dbpedia.org/resource/Bram_&_Alice","http://dbpedia.org/resource/Joe_Keenan_(writer)","Joe Keenan (sceneggiatore)"
"http://dbpedia.org/resource/Doug_(TV_series)","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Father_of_the_Pride","http://dbpedia.org/resource/Jeffrey_Katzenberg","Jeffrey Katzenberg"
"http://dbpedia.org/resource/Pinky_Dinky_Doo","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Allegra's_Window","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/List_of_PB&J_Otter_episodes","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
"http://dbpedia.org/resource/Musical_Mornings_with_Coo","http://dbpedia.org/resource/Jim_Jinkins","Jim Jinkins"
