"binding","subjOfProp","label"
"http://dbpedia.org/resource/Alan_J._Higgins","http://dbpedia.org/resource/Bob_Hearts_Abishola","Bob Hearts Abishola"
"http://dbpedia.org/resource/George_Mandel","http://dbpedia.org/resource/Jeffrey_Mace","Jeffrey Mace"
"http://dbpedia.org/resource/Gino_&_Michele","http://dbpedia.org/resource/Vicini_di_casa","Vicini di casa (serie televisiva)"
"http://dbpedia.org/resource/Jeph_Loeb","http://dbpedia.org/resource/Bucky_(Marvel_Comics)","Bucky"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Nebula_(character)","Nebula (personaggio)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Deadline_(DC_Comics)","Deadline (personaggio)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Maxima_(DC_Comics)","Maxima (DC Comics)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Venom_(Marvel_Comics_character)","Venom (Marvel Comics)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Magno_(character)","Magno (DC Comics)"
"http://dbpedia.org/resource/Roger_Stern","http://dbpedia.org/resource/Doomsday_(DC_Comics)","Doomsday (personaggio)"
"http://dbpedia.org/resource/Tony_Tost","http://dbpedia.org/resource/Damnation_(TV_series)","Damnation (serie televisiva)"
"http://dbpedia.org/resource/Sam_Levinson","http://dbpedia.org/resource/Euphoria_(American_TV_series)","Euphoria (serie televisiva)"
"http://dbpedia.org/resource/Sue_Rose","http://dbpedia.org/resource/Fido_Dido","Fido Dido"
"http://dbpedia.org/resource/Sue_Rose","http://dbpedia.org/resource/Angela_Anaconda","Angela Anaconda"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Mexico's_Next_Top_Model","Mexico's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Canada's_Next_Top_Model","Canada's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/China's_Next_Top_Model","China's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Danmarks_Næste_Topmodel","Denmark's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Vietnam's_Next_Top_Model","Vietnam's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Topmodell_(Hungarian_TV_series)","Magyarország Következő Topmodellje"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Austria's_Next_Topmodel","Austria's Next Topmodel"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Holland's_Next_Top_Model","Holland's Next Top Model"
"http://dbpedia.org/resource/Tyra_Banks","http://dbpedia.org/resource/Africa's_Next_Top_Model","Africa's Next Top Model"
"http://dbpedia.org/resource/Ume_Aoki","http://dbpedia.org/resource/Madoka_Kaname","Madoka Kaname"
"http://dbpedia.org/resource/Gabe_Sachs","http://dbpedia.org/resource/The_Night_Shift_(TV_series)","The Night Shift (serie televisiva)"
"http://dbpedia.org/resource/Gabe_Sachs","http://dbpedia.org/resource/Life_as_We_Know_It_(TV_series)","Life as We Know It"
"http://dbpedia.org/resource/R._M._Fink","http://dbpedia.org/resource/Harry_Callahan_(character)","Harry Callaghan"
"http://dbpedia.org/resource/Jeffrey_Klarik","http://dbpedia.org/resource/Episodes_(TV_series)","Episodes"
"http://dbpedia.org/resource/Sam_Bain","http://dbpedia.org/resource/Fresh_Meat_(TV_series)","Fresh Meat"
"http://dbpedia.org/resource/Edmund_Hartmann","http://dbpedia.org/resource/Family_Affair","Tre nipoti e un maggiordomo"
"http://dbpedia.org/resource/Adrian_Alphona","http://dbpedia.org/resource/Alex_Wilder","Alex Wilder"
"http://dbpedia.org/resource/Adrian_Alphona","http://dbpedia.org/resource/Chase_Stein","Chase Stein"
"http://dbpedia.org/resource/Alfredo_Casero","http://dbpedia.org/resource/Cha_Cha_Cha_(TV_series)","Cha cha cha (serie televisiva)"
"http://dbpedia.org/resource/Alisa_Bellettini","http://dbpedia.org/resource/House_of_Style","House of Style"
"http://dbpedia.org/resource/Allan_Burns","http://dbpedia.org/resource/The_Munsters","I mostri (serie televisiva)"
"http://dbpedia.org/resource/Amy_Hennig","http://dbpedia.org/resource/Nathan_Drake_(Uncharted)","Nathan Drake"
"http://dbpedia.org/resource/Amy_Hennig","http://dbpedia.org/resource/Elena_Fisher","Elena Fisher"
"http://dbpedia.org/resource/Arthur_Conan_Doyle","http://dbpedia.org/resource/Professor_Moriarty","Professor Moriarty"
"http://dbpedia.org/resource/Arthur_Conan_Doyle","http://dbpedia.org/resource/Inspector_Lestrade","Ispettore Lestrade"
"http://dbpedia.org/resource/Arthur_Conan_Doyle","http://dbpedia.org/resource/Dr._Watson","Dottor Watson"
"http://dbpedia.org/resource/Boris_Akunin","http://dbpedia.org/resource/Erast_Fandorin","Erast Petrovič Fandorin"
"http://dbpedia.org/resource/Charles_Addams","http://dbpedia.org/resource/Wednesday_Addams","Mercoledì Addams"
"http://dbpedia.org/resource/Charles_Addams","http://dbpedia.org/resource/Gomez_Addams","Gomez Addams"
"http://dbpedia.org/resource/Charles_Addams","http://dbpedia.org/resource/Lurch_(The_Addams_Family)","Lurch"
"http://dbpedia.org/resource/Charlie_Adlard","http://dbpedia.org/resource/Amon_Sur","Amon Sur"
"http://dbpedia.org/resource/Charlie_Adlard","http://dbpedia.org/resource/Michonne","Michonne"
"http://dbpedia.org/resource/Charlie_Adlard","http://dbpedia.org/resource/Maggie_Greene","Maggie Greene"
"http://dbpedia.org/resource/Jim_Abrahams","http://dbpedia.org/resource/Frank_Drebin","Frank Drebin"
"http://dbpedia.org/resource/Lloyd_Ahlquist","http://dbpedia.org/resource/Epic_Rap_Battles_of_History","Epic Rap Battles of History"
"http://dbpedia.org/resource/Mara_Brock_Akil","http://dbpedia.org/resource/Being_Mary_Jane","Being Mary Jane"
"http://dbpedia.org/resource/Marcel_Allain","http://dbpedia.org/resource/Fantômas","Fantômas"
"http://dbpedia.org/resource/Mike_Allred","http://dbpedia.org/resource/Nick_Fury_(Ultimate_Marvel_character)","Ultimate Nick Fury"
"http://dbpedia.org/resource/Mike_Allred","http://dbpedia.org/resource/Madman_(Mike_Allred_character)","Madman (personaggio)"
"http://dbpedia.org/resource/Tina_Albanese","http://dbpedia.org/resource/See_Dad_Run","Un papà da Oscar"
"http://dbpedia.org/resource/Dan_Jurgens","http://dbpedia.org/resource/Cyborg_Superman","Cyborg (Hank Henshaw)"
"http://dbpedia.org/resource/Dan_Jurgens","http://dbpedia.org/resource/Red_King_(DC_Comics)","Red King (DC Comics)"
"http://dbpedia.org/resource/Dan_Jurgens","http://dbpedia.org/resource/Doomsday_(DC_Comics)","Doomsday (personaggio)"
"http://dbpedia.org/resource/Dan_Jurgens","http://dbpedia.org/resource/Firebrand_(DC_Comics)","Firebrand (DC Comics)"
"http://dbpedia.org/resource/Jason_Katims","http://dbpedia.org/resource/Pure_Genius","Pure Genius"
"http://dbpedia.org/resource/Jason_Katims","http://dbpedia.org/resource/The_Wedding_Bells","The Wedding Bells"
"http://dbpedia.org/resource/Jeffrey_Katzenberg","http://dbpedia.org/resource/Father_of_the_Pride","Father of the Pride"
"http://dbpedia.org/resource/Jill_Kargman","http://dbpedia.org/resource/Odd_Mom_Out","Odd Mom Out"
"http://dbpedia.org/resource/Jim_Jinkins","http://dbpedia.org/resource/Doug_(TV_series)","Doug"
"http://dbpedia.org/resource/Joe_Bennett_(artist)","http://dbpedia.org/resource/Everyman_(DC_Comics)","Everyman (personaggio)"
"http://dbpedia.org/resource/Joe_Casey","http://dbpedia.org/resource/Nighthawk_(Marvel_Comics)","Nottolone"
"http://dbpedia.org/resource/Joe_Kelly_(comics_writer)","http://dbpedia.org/resource/Sayd","Sayd"
"http://dbpedia.org/resource/Joe_Simon","http://dbpedia.org/resource/Bucky_(Marvel_Comics)","Bucky"
"http://dbpedia.org/resource/Joe_Simon","http://dbpedia.org/resource/Bucky_Barnes","Bucky Barnes"
"http://dbpedia.org/resource/Joe_Simon","http://dbpedia.org/resource/Captain_America","Capitan America"
"http://dbpedia.org/resource/John_Broome_(writer)","http://dbpedia.org/resource/Wally_West","Wally West"
"http://dbpedia.org/resource/John_Broome_(writer)","http://dbpedia.org/resource/Gorilla_Grodd","Gorilla Grodd"
"http://dbpedia.org/resource/John_Broome_(writer)","http://dbpedia.org/resource/Black_Hand_(character)","Mano Nera (DC Comics)"
"http://dbpedia.org/resource/John_Broome_(writer)","http://dbpedia.org/resource/Evil_Star","Evil Star (personaggio)"
"http://dbpedia.org/resource/John_Carmack","http://dbpedia.org/resource/B.J._Blazkowicz","William ""B.J."" Blazkowicz"
"http://dbpedia.org/resource/John_Carpenter","http://dbpedia.org/resource/Michael_Myers_(Halloween)","Michael Myers (personaggio)"
"http://dbpedia.org/resource/John_Elliot_(author)","http://dbpedia.org/resource/A_for_Andromeda_(2006_film)","A for Andromeda (film)"
"http://dbpedia.org/resource/John_Elliot_(author)","http://dbpedia.org/resource/Fall_of_Eagles","La caduta delle aquile (serie televisiva)"
"http://dbpedia.org/resource/John_Forte","http://dbpedia.org/resource/Ayla_Ranzz","Ayla Ranzz"
"http://dbpedia.org/resource/John_Forte","http://dbpedia.org/resource/Roxxas","Roxxas"
"http://dbpedia.org/resource/John_Forte","http://dbpedia.org/resource/Night_Girl","Night Girl"
"http://dbpedia.org/resource/John_Green_(author)","http://dbpedia.org/resource/Crash_Course_(YouTube)","Crash Course"
"http://dbpedia.org/resource/John_Hughes_(filmmaker)","http://dbpedia.org/resource/At_Ease_(TV_series)","Signornò"
"http://dbpedia.org/resource/John_McNamara_(writer)","http://dbpedia.org/resource/The_Magicians_(American_TV_series)","The Magicians"
"http://dbpedia.org/resource/John_McNamara_(writer)","http://dbpedia.org/resource/Aquarius_(American_TV_series)","Aquarius (serie televisiva 2015)"
"http://dbpedia.org/resource/John_McNamara_(writer)","http://dbpedia.org/resource/Fastlane_(TV_series)","Fastlane (serie televisiva)"
