"binding","label"
"http://dbpedia.org/resource/Ultraman_Ace","Ultraman Ace"
"http://dbpedia.org/resource/Ultraseven","Ultraseven (serie televisiva)"
"http://dbpedia.org/resource/Um_Himmels_Willen","Un ciclone in convento"
"http://dbpedia.org/resource/Umbre","Umbre"
"http://dbpedia.org/resource/Un_amore_di_strega","Un amore di strega"
"http://dbpedia.org/resource/Un_ciclone_in_famiglia","Un ciclone in famiglia"
"http://dbpedia.org/resource/Un_commissario_a_Roma","Un commissario a Roma"
"http://dbpedia.org/resource/Un_gancho_al_corazón","Un gancho al corazón"
"http://dbpedia.org/resource/Un_paso_adelante","Paso adelante"
"http://dbpedia.org/resource/Un_passo_dal_cielo","Un passo dal cielo"
"http://dbpedia.org/resource/Un_posto_al_sole","Un posto al sole (soap opera)"
"http://dbpedia.org/resource/Un_village_français","Un village français"
"http://dbpedia.org/resource/Una_Maid_en_Manhattan","Una maid en Manhattan"
"http://dbpedia.org/resource/Una_donna_per_amico_(TV_series)","Una donna per amico (serie televisiva)"
"http://dbpedia.org/resource/Una_follia","Una follia"
"http://dbpedia.org/resource/Una_grande_famiglia","Una grande famiglia (serie televisiva)"
"http://dbpedia.org/resource/Una_poltrona_per_due_(TV_series)","Una poltrona per due (programma televisivo)"
"http://dbpedia.org/resource/Unauthorized_Living","Vivere senza permesso"
"http://dbpedia.org/resource/Uncanny_Avengers","Uncanny Avengers"
"http://dbpedia.org/resource/Uncontrollably_Fond","Hamburo aeteuthage"
"http://dbpedia.org/resource/Undefeated_Bahamut_Chronicle","Saijaku muhai no Bahamut"
"http://dbpedia.org/resource/Undina_(Tchaikovsky)","Undina (opera)"
"http://dbpedia.org/resource/Unfabulous","Unfabulous"
"http://dbpedia.org/resource/Unikitty!","Unikitty!"
"http://dbpedia.org/resource/Unit_42","Unità 42"
"http://dbpedia.org/resource/United_Kingdom_in_the_Junior_Eurovision_Song_Contest","Regno Unito al Junior Eurovision Song Contest"
"http://dbpedia.org/resource/United_States_of_Tara","United States of Tara"
"http://dbpedia.org/resource/United_World_Rebellion","United World Rebellion: Chapter One"
"http://dbpedia.org/resource/Unlimited_Fafnir","Jūō mujin no Fafnir"
"http://dbpedia.org/resource/Uno_di_noi_(TV_series)","Uno di noi (serie televisiva)"
"http://dbpedia.org/resource/Unomattina","Unomattina"
"http://dbpedia.org/resource/Unscripted","Unscripted"
"http://dbpedia.org/resource/Unsealed_Alien_Files","Alieni: nuove rivelazioni"
"http://dbpedia.org/resource/Unsere_Besten","Unsere Besten"
"http://dbpedia.org/resource/Unsolved_(American_TV_series)","Unsolved"
"http://dbpedia.org/resource/Unter_uns","Unter uns (soap opera)"
"http://dbpedia.org/resource/Until_Dawn_(TV_series)","Fino all'alba (programma televisivo)"
"http://dbpedia.org/resource/Until_Death_(1988_film)","Per sempre (film 1987)"
"http://dbpedia.org/resource/Until_Death_Do_Us_Part_(manga)","Until Death Do Us Part"
"http://dbpedia.org/resource/Untouchable_Lovers","Feng qiu huang"
"http://dbpedia.org/resource/Upside-Down_Magic_(film)","Upside-Down Magic - Magia imperfetta"
"http://dbpedia.org/resource/Upstart_Crow","Upstart Crow"
"http://dbpedia.org/resource/Urawa_no_Usagi-chan","Urawa no Usagi-chan"
"http://dbpedia.org/resource/Urban_Vermin","I Netturbani"
"http://dbpedia.org/resource/Uruguayan_Civil_War","Guerra civile uruguaiana"
"http://dbpedia.org/resource/Rice_riots_of_1918","Moti per il riso del 1918"
"http://dbpedia.org/resource/Die_Neue_–_Eine_Frau_mit_Kaliber","I misteri di Mondsee"
"http://dbpedia.org/resource/Exhibition_of_the_Fascist_Revolution","Mostra della Rivoluzione fascista"
"http://dbpedia.org/resource/IBSAMAR","IBSAMAR"
"http://dbpedia.org/resource/Noé_(opera)","Noé (opera)"
"http://dbpedia.org/resource/Oraa_Guzura_Dado","Il mio amico Guz"
"http://dbpedia.org/resource/SantApprentice","L'apprendista Babbo Natale"
"http://dbpedia.org/resource/Gabriel_Allon","Gabriel Allon"
"http://dbpedia.org/resource/HP_48_series","HP 48"
"http://dbpedia.org/resource/Hype_cycle","Hype cycle"
"http://dbpedia.org/resource/Le_crescendo","Le crescendo"
"http://dbpedia.org/resource/Louisville_sewer_explosions","Esplosione di esano a Louisville del 1981"
"http://dbpedia.org/resource/Nebula_Award_for_Best_Short_Story","Premio Nebula per il miglior racconto breve"
"http://dbpedia.org/resource/Nokia_5200","Nokia 5200"
"http://dbpedia.org/resource/Red_Bull_Music_Academy","Red Bull Music Academy"
"http://dbpedia.org/resource/The_Best_of_the_Post","The Best of the Post"
