LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,domain_article,domain_written_singular,domain_written_plural,domain_written_singular,range_written_singular,range_written_plural,,,,,,,,,,
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:Person,feminine,Gruppe,Gruppen,feminine,Person,Personen,"Was (dbo:Person, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Person, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche Person,Wer (dbo:Person, X) ist,war article Bandmitglieder von (dbo:Group,Y?) (X dbo:bandMember Y)",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Gib mir die (dbo:Person, X) Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Artist,neuter,Band,Bande,masculine,K］stler,K］stler,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:Artist,feminine,Organisation,Organisation,masculine,K］stler,K］stler,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:Artist,masculine,Agent,Agenten,masculine,K］stler,K］stler,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:Artist,feminine,Gruppe,Gruppen,masculine,K］stler,K］stler,"Was (dbo:Artist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Artist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Artist, X) Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist,neuter,Band,Bande,masculine,MusicalK］stler,MusicalK］stler,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Organisation,dbo:MusicalArtist,feminine,Organisation,Organisation,masculine,MusicalK］stler,MusicalK］stler,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Organisation,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Organisation,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Agent,dbo:MusicalArtist,masculine,Agent,Agenten,masculine,MusicalK］stler,MusicalK］stler,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Agent,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Agent,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Group,dbo:MusicalArtist,feminine,Gruppe,Gruppen,masculine,MusicalK］stler,MusicalK］stler,"Was (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:MusicalArtist, X) ist die Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:MusicalArtist, X) Bandmitglieder von (dbo:Group,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Group,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
member_of_4,noun,masculine,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,Bandmitglieder,von,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Agent,neuter,Band,Bande,masculine,Agent,Agenten,"Was (dbo:Agent, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"Welche (dbo:Agent, X) ist die Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},FALSE,FALSE,"Gib mir die (dbo:Agent, X) Bandmitglieder von (dbo:Band,Y?) ",SELECT ?X WHERE { Y dbo:bandMember ?X.},"die Bandmitglieder von (dbo:Band,Y) ",SELECT ?X WHERE { Y dbo:bandMember ?X.}
