LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
aufh”ren_4,TrennVerb,aufh”ren,h”rt auf,h”rte auf,aufgeh”rt,in,IntransitivePPFrame,domain,range,1,dbo:routeEnd,dbo:RouteOfTransportation,dbo:Location,masculine,Transportweg,Transportwegen,feminine,Stadt,Stadte
storben_1,verb,sterben,stirbt,starb,gestorben,in,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Person,xsd:string,feminine,Person,Personen,feminine,Ursache,Ursachen
storben_2,verb,sterben,stirbt,starb,gestorben,in,IntransitivePPFrame,domain,range,1,dbo:deathCause,dbo:Agent,xsd:string,masculine,Agent,Agenten,feminine,Ursache,Ursachen
flieáen_1,verb,flieáen,flieát,floss,geflossen,durch,IntransitivePPFrame,domain,range,1,dbo:country,dbo:River,dbo:City,masculine,Fluss,Flsse,neuter,Stadt,St„dte
šberspannen_1,verb,berspannen,berspannt,berspannte,berspannt,in,IntransitivePPFrame,domain,range,1,dbo:crosses,dbo:Bridge,dbo:BodyOfWater,feminine,Brcke,Brcken,masculine,Fluss,Fluss
šberspannen_2,veb,berspannen,berspannt,berspannte,berspannt,in,IntransitivePPFrame,domain,range,1,dbo:crosses,dbo:ArchitecturalStructure,dbo:BodyOfWater,feminine,ArchitektonischeStruktur,ArchitektonischeStrukturen,masculine,Fluss,Fluss
nennen_1,veb,nennen,nennt,nante,genannt,X,IntransitivePPFrame,domain,range,1,dbp:nickname,dbo:Person,xsd:string,masculine,Person,Personen,masculine,Name,Namen
anfangen_1,verb,anfangen,f„ngt an,fing an,angefangen,von,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:City,dbo:Road,feminine,Stadt,Stadte,feminine,Strasse,Strassen
sprechen_1,verb,sprechen,spricht,sprach,gesprochen,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Country,dbo:Language,neuter,Land,L„nder,feminine,Sprache,Sprachen
sprechen_2,veb,sprechen,spricht,sprach,gesprochen,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Location,dbo:Language,feminine,Lage,Lagen,feminine,Sprache,Sprachen
entspringen_1,veb,entspringen,entspringt,entsprang,entsprungen,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Country,masculine,Fluss,Flsse,neuter,Land,L„nder
entspringen_2,veb,entspringen,entspringt,entsprang,entsprungen,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:BodyOfWater,dbo:Country,neuter,Gew„sser,Gew„sser,neuter,Land,L„nder
geboren_in_1,verb,geb„ren,geb„rt,gebar,geboren,in,IntransitivePPFrame,domain,range,1,dbo:birthYear,dbo:Person,xsd:gYear,masculine,Person,Personen,neuter,Jahr,Jahren
geborn_on_1,verb,geb„ren,geb„rt,gebar,geboren,auf,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Place,masculine,Person,Personen,neuter,Ort,™rter
geborn_on_2,verb,geb„ren,geb„rt,gebar,geboren,auf,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Location,masculine,Person,Personen,feminine,Lage,Lagen
geborn_on_3,verb,geb„ren,geb„rt,gebar,geboren,auf,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:PopulatedPlace,masculine,Person,Personen,neuter,Ort,™rter
geborn_on_4,verb,geb„ren,geb„rt,gebar,geboren,auf,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Person,dbo:Country,masculine,Person,Personen,neuter,Land,L„nder
complete_in,TrennVerb,fertigstellen,stellt fertig,stellte fertig,fertiggestellt,in,IntransitivePPFrame,domain,range,1,dbo:buildingEndDate,dbo:Ship,xsd:date,neuter,Schiff,Schiffe,neuter,Date,Dates
